date,mid,spread_pct,gap,log_depth,z_gap,z_spread,z_liq,emp,emp_rolling,prob_depr_14d,prob_depr_30d,alarm_mass_14d,alarm_mass_30d
2025-12-20,9.739084225007876,0.1885659784234261,2.779084225007876,13.455338157000128,-0.0126229000663885,-0.0690243702382603,-0.6495841288761958,-0.2436241087803745,-0.0057203077809836,0.3916292811641628,0.3269887573411133,-0.0887580626797577,-0.1234172969857902
2025-12-21,10.111467286629784,0.1951600173847526,3.151467286629784,13.315442895964866,0.7866301276372115,0.7279991402319064,0.0018182035625987,1.024314945179865,1.1618723194272371,0.3167806604740048,0.1989769451653896,-0.1467534854112107,-0.2282958434784801
2025-12-22,9.732886338029129,0.180038228880343,2.772886338029129,13.362917269204528,-0.0259255457655573,-0.3951973438577612,-1.0289864393142365,-0.589485797612972,-0.3617207717830094,0.3142561249768519,0.2173013535125427,-0.1302123572212646,-0.179833526953151
2025-12-23,9.589176013436226,0.1595453872381422,2.6291760134362265,13.380135383618857,-0.3343738182054191,-0.3025704601064691,-0.7773017864078876,-0.6543112502076754,-0.4798688008406135,0.4486796635830215,0.4257772167209732,0.0045386050981939,0.0321106468289128
2025-12-24,9.61537832444947,0.1345099200261844,2.6553783244494698,13.12300197957359,-0.2781352870570037,-0.5568017357275702,-0.08857157393537,-0.5966486689873799,-0.4678951268088658,0.406177354469453,0.2455941129984654,-0.0448339058231831,-0.1370080172657003
2025-12-25,9.79582948635084,0.1161477881866177,2.83582948635084,13.016956393421186,0.109170561050394,-0.1657797531578889,0.947627163400025,0.2287068342800987,0.303157318715545,0.4018929769666747,0.1697519470268878,-0.0579495259086006,-0.1976319181447904
2025-12-26,9.621820888596744,0.1236437540404035,2.6618208885967443,12.788171917364505,-0.2643074859791126,-0.6066660853815188,-0.4921979924438739,-0.7387048935935188,-0.5619674545596254,0.3727729416208003,0.235192329111807,-0.0818601321564029,-0.0933382015734146
2025-12-27,9.751885899605082,0.1249347678314717,2.7918858996050817,12.968186812831128,0.0148535837911987,-0.5713543472868998,0.6418076669445817,-0.2044871259524303,-0.1019212648500531,0.3370684347977,0.1085923691310962,-0.117551524141873,-0.2067894756690764
2025-12-28,9.92163648813616,0.126793522082427,2.9616364881361585,12.846008041061491,0.3791925825818703,-0.1296648145520664,1.277334239555755,0.5257881438838526,0.6013190945308033,0.3334406429061614,0.089535441776365,-0.1120908805316522,-0.1972663378203976
2025-12-29,9.84225777806789,0.1374602727768111,2.8822577780678893,13.082745413233363,0.2088205090483897,-0.3801481562120377,0.4241600189461694,-0.0065730230959028,0.1290825202983312,0.3037694665536228,0.1002546061395967,-0.1203016257143137,-0.1574580137475456
2025-12-30,9.648859811309377,0.0894022903370068,2.688859811309375,13.2233138546919,-0.2062733188239586,-0.8428892117644313,-0.1511610806459983,-0.7674540608276624,-0.5992346488632863,0.3214790754765422,0.1303751804373006,-0.0852319210775808,-0.100523102523904
2025-12-31,9.94107145536888,0.1286995432636231,2.9810714553688795,13.097216693659997,0.4209062317914149,0.1637298008850646,-0.049225170517706,0.3758897543810091,0.6089622556567171,0.3214724560408021,0.1750712318083452,-0.0776145090390568,-0.0441748185003723
2026-01-01,9.863780925029838,0.1402519693293717,2.903780925029838,13.180519199344662,0.2550160591363072,-0.4201773981542473,0.1543094712452171,-0.0820180758678788,0.1061623700652826,0.2723825134271637,0.0872781630551184,-0.1200905117382065,-0.1297720537002413
2026-01-02,9.65482998031642,0.1260763595317375,2.6948299803164213,13.330202782255572,-0.1934594286486083,-0.7364966529922262,-1.0562354400822855,-0.945484985385791,-0.6829182141049543,0.3006977839849489,0.1788540669649576,-0.0811914705927289,-0.0292618171739411
2026-01-03,9.846241709501982,0.1228647677652471,2.8862417095019817,13.3119366398695,0.2173712987835439,-0.3183694162589051,-0.2217761208779123,-0.1439055604755519,0.1595195503796528,0.286953850682445,0.123956200454175,-0.092103198492446,-0.0869337058825541
2026-01-04,10.056990356799709,0.1747356986809773,3.096990356799709,13.224298075807392,0.6697052306855542,0.1577742492036638,0.689569753447788,0.7475362834423569,1.068385112091184,0.2747413050665759,0.0834603810065671,-0.0911515317139477,-0.117462834215716
2026-01-05,10.307109000565903,0.2049559677586563,3.347109000565905,13.04862585161644,1.2065397538364036,0.956409694995368,-0.999835533022275,1.170347912608159,1.7566021748650165,0.2036039171536042,0.134785451056628,-0.1477045665906573,-0.0524007647928108
2026-01-06,10.433365318403048,0.2454780211210847,3.473365318403048,13.67357097053998,1.4775261511728706,1.4222157598977687,-1.0398170052455478,1.6617145867100256,2.179143972350058,0.2054205119617663,0.1641384943624193,-0.1182831863375746,-0.0208264192754164
2026-01-07,10.568177340722144,0.2392709220337741,3.608177340722144,13.773718844036846,1.7668758238998847,1.3687349775009725,-0.510999384755417,1.9662312834541724,2.398217886556908,0.1523017144801759,0.0666479616321989,-0.1511858596291238,-0.1241084703038524
2026-01-08,10.057909997090569,0.2356186749664247,3.097909997090569,13.729854552533386,0.6716790725774671,0.3836030730039749,-1.9287509981583328,0.1522651555105026,0.5862514163754826,0.2187864400189543,0.1995117239399269,-0.0582147012912892,0.0247756944137275
2026-01-09,10.149831214121754,0.1733720945048315,3.189831214121754,13.817442066464825,0.8689713734205409,0.0466146773756833,-0.2099023891137013,0.5412783394290793,0.8504003035379688,0.1784406822584957,0.0481680786678519,-0.0925476559295901,-0.1318257166978547
2026-01-10,10.505258874130856,0.1664874043567747,3.545258874130856,13.288365366859816,1.6318326919633053,1.026178237424189,-0.3587812820658504,1.6823384624970363,2.0022463502225984,0.1425589299776131,0.0469408927664681,-0.1131860807660597,-0.1069345764061102
2026-01-11,10.490139114632248,0.2050515235586816,3.530139114632248,13.611492606550424,1.5993808572724924,1.1261343093831062,-0.5250498265405197,1.6830052134679236,1.9325614403297184,0.1556337987344358,0.0641253874260084,-0.0824656656842736,-0.0733653216880553
2026-01-12,9.694158678557994,0.0973618696328569,2.7341586785579937,13.500492252422006,-0.1090474765895928,-0.9428386331703646,-1.2133048568087508,-1.0795831594383998,-0.7812677771362562,0.235574236763136,0.1044111166381334,-0.0031891499867786,-0.0196960798984419
2026-01-13,9.960333607659583,0.125877901688821,3.000333607659585,13.70970471317509,0.4622489649205218,-0.2284258440884284,-1.0332116995930858,-0.1544456520642077,0.116707869767232,0.2077309314452219,0.0936557352567138,-0.0379679272941897,-0.0354997109588248
2026-01-14,9.620808113466914,0.1265519583711395,2.6608081134669144,13.690816882648054,-0.2664812249923047,-1.1143962429468812,-1.9143482636254543,-1.5045090030052164,-1.1800879651755416,0.2254527660482215,0.1269799090376431,-0.0192482175717326,0.0014002256008203
2026-01-15,9.735420821912244,0.0916459981761658,2.7754208219122445,13.839016503278302,-0.0204857335774754,-0.8700042522350462,-0.9848952999601386,-0.9048933965023792,-0.6784458358553773,0.2319435658044421,0.0921190217086441,-0.0181243411219302,-0.035301712822681
